,Title,Genre, Meta Score
334,Breaking Upwards,Romance,5.6000000000000005
335,Diary of a Chambermaid,Drama,5.6000000000000005
336,Detour,Thriller,5.5
337,Loro,"Biography,Drama",5.5
338,Breakin' 2: Electric Boogaloo,"Drama,Comedy,Musical",5.5
339,Little Pink House,Drama,5.5
340,The Girl Is in Trouble,"Thriller,Crime",5.5
341,Marie's Story,Biography,5.4
342,Explicit Ills,Drama,5.4
343,Honour,Thriller,5.300000000000001
344,The Heart of Me,"Drama,Romance",5.300000000000001
345,Putin's Kiss,"Drama,Documentary",5.2
346,Citizen Koch,"Drama,Documentary",5.2
347,In the Name Of,"Drama,Thriller",5.2
348,Heavy Metal,"Adventure,Sci-Fi,Fantasy,Animation",5.1000000000000005
349,11 Minutes,"Drama,Thriller",5.1000000000000005
350,First Descent,"Sport,Documentary",5.1000000000000005
351,Moscow Never Sleeps,Drama,5.1000000000000005
352,You're Killing Me Susana,"Drama,Comedy,Romance",5.0
353,Beauty Remains,Drama,4.9
354,Body,"Drama,Thriller",4.9
355,Half Magic,"Comedy,Romance",4.9
356,Stagedoor,Documentary,4.9
357,Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,Documentary,4.800000000000001
358,My Amityville Horror,Documentary,4.800000000000001
359,The World Made Straight,Drama,4.800000000000001
360,Condo Painting,Documentary,4.800000000000001
361,Coffee Date,Comedy,4.7
362,Who Killed Bambi?,"Drama,Thriller",4.7
363,Perfect,"Drama,Romance",4.6000000000000005
364,Digging Up the Marrow,"Biography,Drama,Mystery,Thriller,Fantasy,Horror",4.5
365,Fire and Ice,"Adventure,Fantasy,Animation",4.5
366,Foul Play,"Mystery,Thriller,Comedy",4.5
367,Swimming with Men,"Drama,Sport,Comedy,Romance",4.4
368,Angels in the Outfield,"Sport,Fantasy,Comedy,Family",4.4
369,Carbon Nation,"Family,Documentary",4.4
370,Steve + Sky,"Drama,Comedy,Romance",4.4
371,The Great Role,"Drama,Comedy,Romance",4.3
372,Crooked Arrows,"Drama,Sport",4.2
373,Mighty Fine,"Drama,Comedy",4.2
374,Pizza,Comedy,4.2
375,U Want Me 2 Kill Him?,"Drama,Thriller",4.2
376,The Intended,Drama,4.2
377,The Loss of Sexual Innocence,Drama,4.2
378,"Milwaukee, Minnesota",Drama,4.1000000000000005
379,Nowhere Man,"Action,Drama,Horror,Comedy,Crime",4.1000000000000005
380,An Acceptable Loss,"Drama,Thriller",4.0
381,Rodin,"Biography,Drama,Romance",3.9000000000000004
382,Till Human Voices Wake Us,Drama,3.9000000000000004
383,Vincent Wants to Sea,Drama,3.9000000000000004
384,Confessions of a Burning Man,Documentary,3.7
385,Aardvark,Drama,3.7
386,Can't Buy Me Love,"Drama,Comedy,Romance",3.6
387,Stateside,"Drama,Romance",3.5
388,Isn't She Great,"Biography,Comedy,Romance",3.4000000000000004
389,Losing Control,Comedy,3.3000000000000003
390,My Favorite Martian,"Sci-Fi,Comedy,Family",3.3000000000000003
391,The Perfect Holiday,"Comedy,Romance,Family",3.2
392,Beyond Honor,Drama,3.2
393,Least Among Saints,Drama,3.2
394,The Curse of Downers Grove,"Drama,Mystery,Thriller,Horror",3.1
395,Cost of a Soul,"Drama,Crime",3.0
396,Immigration Tango,Comedy,2.8000000000000003
397,Maladies,Drama,2.8000000000000003
398,Saturn 3,"Adventure,Sci-Fi,Thriller,Horror",0.9
399,Force of Evil,"Drama,Crime,Film-Noir",8.9
400,The General,"Biography,Drama,Thriller,Crime",8.1
401,The Hill,"Drama,War",8.1
402,The Freshman,"Comedy,Crime",7.800000000000001
403,The Iron Ministry,Documentary,7.6000000000000005
404,Guerrilla: The Taking of Patty Hearst,"Biography,History,Crime,War,Documentary",7.5
405,Donbass,Drama,7.4
406,Gun Crazy,"Drama,Thriller,Romance,Crime,Film-Noir",7.4
407,The Watermelon Woman,Drama,7.4
408,Kiki,Documentary,7.300000000000001
409,After the Life,"Drama,Crime",7.300000000000001
410,Mike Wallace Is Here,"Biography,Documentary",7.300000000000001
411,Little Feet,Drama,7.300000000000001
412,Breaker Morant,"Drama,History,War",7.2
413,Plagues and Pleasures on the Salton Sea,Documentary,7.2
414,Battle for Brooklyn,"Drama,Documentary",7.1000000000000005
415,Koch,"Biography,History,Documentary",7.1000000000000005
416,Bugsy Malone,"Comedy,Crime,Family,Musical",7.1000000000000005
417,Letters from Baghdad,Documentary,7.1000000000000005
418,Paint It Black,Drama,7.1000000000000005
419,Tel Aviv on Fire,"Drama,Comedy,Romance",7.0
420,Better Living Through Circuitry,"Drama,Music,Documentary",7.0
421,Jason Becker: Not Dead Yet,"Biography,Music,Documentary",7.0
422,Beautiful Darling,Documentary,6.9
423,Rosenwald,"Biography,Documentary",6.7
424,It Came from Kuchar,"Comedy,Documentary",6.7
425,Guidance,Comedy,6.6000000000000005
426,Littlerock,Drama,6.6000000000000005
427,Harvest of Empire,"History,Documentary,News",6.6000000000000005
428,The Swell Season,"Romance,Music,Documentary",6.5
429,"Faster, Pussycat! Kill! Kill!","Action,Comedy",6.5
430,Fishing Without Nets,Thriller,6.5
431,Naz & Maalik,"Adventure,Drama,Comedy",6.5
432,Monsieur N.,"Biography,Drama,Mystery",6.5
433,Red Flag,"Comedy,Romance",6.5
434,Wolke Neun,"Drama,Romance",6.4
435,Sample This,Documentary,6.4
436,Wrestling with Angels: Playwright Tony Kushner,Documentary,6.4
437,The Almost Man,"Drama,Comedy",6.4
438,Coming Through The Rye,Drama,6.4
439,Enzo Avitabile Music Life,Documentary,6.4
440,We Are X,"Music,Documentary",6.4
441,Woman Is the Future of Man,Drama,6.300000000000001
442,The Caine Mutiny,"Drama,War",6.300000000000001
443,Rubble Kings,Documentary,6.2
444,Punching the Clown,Comedy,6.2
445,Stolen Childhoods,Documentary,6.2
446,Nearing Grace,Drama,6.2
447,Dreams Rewired,"History,Documentary,News",6.2
448,The Invisibles,"Biography,Drama,History,War",6.0
449,Len and Company,"Drama,Comedy",6.0
450,Go for Sisters,"Drama,Thriller,Crime",5.9
451,Follow Me: The Yoni Netanyahu Story,Documentary,5.800000000000001
452,Blossoms of Fire,Documentary,5.800000000000001
453,Defamation,Documentary,5.800000000000001
454,Pulling Strings,"Comedy,Romance",5.7
455,Rubberneck,"Drama,Thriller",5.7
456,Confetti,"Comedy,Romance",5.7
457,Shake Hands with the Devil,"Drama,History,War",5.7
458,Limelight,Documentary,5.7
459,"I, Olga Hepnarová","Biography,Drama,Thriller,Crime",5.7
460,Sushi: The Global Catch,"History,Documentary,News",5.7
461,Sacrifice,"Drama,History",5.7
462,Tommy's Honour,"Biography,Drama,History,Sport,Romance",5.6000000000000005
463,Greedy Lying Bastards,Documentary,5.6000000000000005
464,The Driver,"Action,Thriller,Crime",5.6000000000000005
465,3 Hearts,Drama,5.6000000000000005
466,Spark: A Burning Man Story,"Action,Biography,Drama,Documentary",5.5
467,Union Square,Drama,5.5
468,Dreaming of Joseph Lees,"Drama,Romance",5.5
469,I Am Eleven,"Biography,Documentary",5.5
470,The Brooklyn Brothers Beat the Best,"Comedy,Music",5.4
471,Whole New Thing,"Drama,Comedy",5.4
472,Amu,Drama,5.4
473,Next of Kin,"Action,Thriller,Crime",5.300000000000001
474,Group,"Drama,Comedy",5.300000000000001
475,Ghost River,Drama,5.2
476,Zorro: The Gay Blade,"Action,Adventure,Comedy,Romance,Western",5.2
477,American Chaos,Documentary,5.2
478,Private Peaceful,"Drama,War",5.1000000000000005
479,The Song of Sway Lake,"Drama,Romance,Musical",5.1000000000000005
480,Twelve Thirty,Drama,5.0
481,The Human Scale,"Documentary,News",5.0
482,Auggie Rose,"Drama,Mystery,Thriller",4.9
483,Just Like Us,Documentary,4.9
484,Special Treatment,"Drama,Comedy",4.9
485,Meeting Resistance,Documentary,4.9
486,When Comedy Went to School,"Drama,Comedy,Documentary",4.9
487,Incantato,"Drama,Comedy,Romance",4.800000000000001
488,Spring Fever,Drama,4.7
489,The Dry Land,Drama,4.7
490,U.N. Me,Documentary,4.6000000000000005
491,Little Darlings,"Drama,Comedy",4.5
492,Paternity,"Comedy,Romance",4.5
493,Hey Bartender,Documentary,4.4
494,Suspended Animation,Thriller,4.3
495,Jake Speed,"Action,Adventure,Comedy,Crime",4.2
496,Tonight You're Mine,"Drama,Comedy,Music",4.1000000000000005
497,Two Moon Junction,"Drama,Romance",3.8000000000000003
498,Shock Treatment,"Comedy,Musical",3.6
499,Take Care,"Drama,Comedy,Romance",3.4000000000000004
500,The Wait,"Drama,Thriller",3.4000000000000004
501,The Time Being,Mystery,2.9000000000000004
502,Answers to Nothing,"Drama,Mystery",2.9000000000000004
503,The Condemned,Mystery,2.9000000000000004
504,The Crash,"Thriller,Crime",2.8000000000000003
505,McCanick,"Drama,Mystery,Thriller,Crime",2.8000000000000003
506,Friended to Death,Comedy,2.6
507,Besotted,"Comedy,Romance",2.0
508,Unplanned,"Biography,Drama",1.0
509,Darkness,"Mystery,Thriller,Horror",1.5
510,Kung Pow: Enter the Fist,"Action,Comedy",1.4000000000000001
511,Knock Down the House,Documentary,8.0
512,Marci X,"Comedy,Music",2.0
