,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
26,Life Is Beautiful,1997,1h 56m,PG-13,Roberto Benigni,"Roberto Benigni , Guido , Nicoletta Braschi , Dora , Giorgio Cantarini , Giosué , Giustino Durano , Zio , Sergio Bini Bustric , Ferruccio(as Sergio Bustric) , Marisa Paredes , Madre di Dora , Horst Buchholz , Dottor Lessing(as Horst Bucholz) , Lidia Alfonsi , Guicciardini(as Lydia Alfonsi) , Giuliana Lojodice , Direttrice Didattica , Amerigo Fontani , Rodolfo , Pietro De Silva , Bartolomeo , Francesco Guzzo , Vittorino , Raffaella Lebboroni , Elena , Claudio Alfonsi , Amico Rodolfo , Gil Baroni , Prefetto , Massimo Bianchi , Uomo della chiave , Jürgen Bohn , Attendente tedesco festa(as Jurgen Bohn) , Verena Buratti , Ausiliaria tedesca","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",27,8.6,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg"
27,The Green Mile,1999,3h 9m,R,Frank Darabont,"Tom Hanks , Paul Edgecomb , Michael Clarke Duncan , John Coffey , David Morse , Brutus 'Brutal' Howell , Bonnie Hunt , Jan Edgecomb , James Cromwell , Warden Hal Moores , Michael Jeter , Eduard Delacroix , Graham Greene , Arlen Bitterbuck , Doug Hutchison , Percy Wetmore , Sam Rockwell , 'Wild Bill' Wharton , Barry Pepper , Dean Stanton , Jeffrey DeMunn , Harry Terwilliger , Patricia Clarkson , Melinda Moores , Harry Dean Stanton , Toot-Toot , Dabbs Greer , Old Paul Edgecomb , Eve Brent , Elaine Connelly , William Sadler , Klaus Detterick , Mack Miles , Orderly Hector(as Mack C. Miles) , Rai Tasco , Man in Nursing Home","A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",28,8.6,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX190_CR0,0,190,281_.jpg"
28,Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,George Lucas,"Mark Hamill , Luke Skywalker , Harrison Ford , Han Solo , Carrie Fisher , Princess Leia Organa , Alec Guinness , Ben Obi-Wan Kenobi , Peter Cushing , Grand Moff Tarkin , Anthony Daniels , C-3PO , Kenny Baker , R2-D2 , Peter Mayhew , Chewbacca , David Prowse , Darth Vader , Phil Brown , Uncle Owen , Shelagh Fraser , Aunt Beru , Jack Purvis , Chief Jawa , Alex McCrindle , General Dodonna , Eddie Byrne , General Willard , Drewe Henley , Red Leader(as Drewe Hemley) , Denis Lawson , Red Two (Wedge)(as Dennis Lawson) , Garrick Hagon , Red Three (Biggs) , Jack Klaff , Red Four (John D.)","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",29,8.6,"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_QL75_UX190_CR0,5,190,281_.jpg"
29,Terminator 2: Judgment Day,1991,2h 17m,R,James Cameron,"Arnold Schwarzenegger , The Terminator , Linda Hamilton , Sarah Connor , Edward Furlong , John Connor , Robert Patrick , T-1000 , Earl Boen , Dr. Silberman , Joe Morton , Miles Dyson , S. Epatha Merkerson , Tarissa Dyson , Castulo Guerra , Enrique Salceda , Danny Cooksey , Tim , Jenette Goldstein , Janelle Voight , Xander Berkeley , Todd Voight , Leslie Hamilton Gearren , Twin Sarah , Ken Gibbel , Douglas , Robert Winley , Cigar Biker , Pete Schrum , Lloyd , Shane Wilder , Trucker , Michael Edwards , Old John Connor , Jared Lounsbery , Kid","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",30,8.6,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
30,Back to the Future,1985,1h 56m,PG,Robert Zemeckis,"Michael J. Fox , Marty McFly , Christopher Lloyd , Dr. Emmett Brown , Lea Thompson , Lorraine Baines , Crispin Glover , George McFly , Tom Wilson , Biff Tannen(as Thomas F. Wilson) , Claudia Wells , Jennifer Parker , Marc McClure , Dave McFly , Wendie Jo Sperber , Linda McFly , George DiCenzo , Sam Baines , Frances Lee McCain , Stella Baines , James Tolkan , Mr. Strickland , J.J. Cohen , Skinhead(as Jeffrey Jay Cohen) , Casey Siemaszko , 3-D , Billy Zane , Match , Harry Waters Jr. , Marvin Berry , Donald Fullilove , Goldie Wilson , Lisa Freeman , Babs , Cristen Kauffman , Betty","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",31,8.5,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,7,190,281_.jpg"
31,Spirited Away,2001,2h 5m,PG,Hayao Miyazaki,"Daveigh Chase , Chihiro(English version)(voice) , Suzanne Pleshette , Yubaba(English version)(voice)… , Miyu Irino , Haku(voice) , Rumi Hiiragi , Chihiro Ogino(voice)… , Mari Natsuki , Yubaba(voice)… , Takashi Naitô , Akio Ogino(voice) , Yasuko Sawaguchi , Yûko Ogino(voice) , Tatsuya Gashûin , Aogaeru(voice) , Ryunosuke Kamiki , Bô(voice)(as Ryûnosuke Kamiki) , Yumi Tamai , Rin(voice) , Yô Ôizumi , Bandai-gaeru(voice) , Koba Hayashi , Kawa no Kami(voice) , Tsunehiko Kamijô , Chichiyaku(voice) , Takehiko Ono , Aniyaku(voice) , Bunta Sugawara , Kamajî(voice) , Shigeru Wakita , Shirô Saitô , Michiko Yamamoto","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",32,8.6,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
32,The Pianist,2002,2h 30m,R,Roman Polanski,"Adrien Brody , Wladyslaw Szpilman , Thomas Kretschmann , Captain Wilm Hosenfeld , Frank Finlay , Father , Emilia Fox , Dorota , Michal Zebrowski , Jurek , Ed Stoppard , Henryk , Maureen Lipman , Mother , Jessica Kate Meyer , Halina , Julia Rayner , Regina , Wanja Mues , SS Slapping Father , Richard Ridings , Mr. Lipa , Nomi Sharron , Feather Woman , Anthony Milner , Man Waiting to Cross , Lucy Skeaping , Street Musician(as Lucie Skeaping) , Roddy Skeaping , Street Musician , Ben Harlan , Street Musician , Thomas Lawinky , Schutzpolizei , Joachim Paul Assböck , Schutzpolizei",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,33,8.5,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR7,0,190,281_.jpg"
33,Psycho,1960,1h 49m,R,Alfred Hitchcock,"Anthony Perkins , Norman Bates , Janet Leigh , Marion Crane , Vera Miles , Lila Crane , John Gavin , Sam Loomis , Martin Balsam , Det. Milton Arbogast , John McIntire , Sheriff Al Chambers , Simon Oakland , Dr. Fred Richman , Frank Albertson , Tom Cassidy , Patricia Hitchcock , Caroline(as Pat Hitchcock) , Vaughn Taylor , George Lowery , Lurene Tuttle , Mrs. Chambers , John Anderson , California Charlie , Mort Mills , Highway Patrol Officer , Fletcher Allen , Policeman on Steps(uncredited) , Walter Bacon , Church Member(uncredited) , Prudence Beers , Extra(uncredited) , Kit Carson , Extra(uncredited) , Francis De Sales , Deputy District Attorney Alan Deats","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",34,8.5,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
34,Parasite,2019,2h 12m,R,Bong Joon Ho,"Song Kang-ho , Ki Taek(as Song Kang Ho) , Lee Sun-kyun , Dong Ik(as Lee Sun Kyun) , Cho Yeo-jeong , Yeon Kyo(as Cho Yeo Jeong) , Choi Woo-sik , Ki Woo(as Choi Woo Shik) , Park So-dam , Ki Jung(as Park So Dam) , Lee Jeong-eun , Moon Gwang(as Lee Jung Eun) , Jang Hye-jin , Chung Sook(as Chang Hyae Jin) , Park Myeong-hoon , Geun Se(as Park Myeong Hoon) , Jung Ji-so , Da Hye(as Jung Ziso) , Jung Hyun-jun , Da Song(as Jung Hyeon Jun) , Park Keun-rok , Driver Yoon(as Park Keun Rok) , Jung Yi-seo , CEO of Pizza Place(as Jeung Esuh) , Jo Jae-myeong , CEO's Brother of Pizza Place , Jung Ik-han , Neighbor(as Jung Ik Han) , Kim Kyu-baek , Drunk Person 1 , Hwang In-kyung , Internet Cafe Staff(as Hwang In Kyung) , Ahn Seong-bong , Street Fighting Person 1(as Ahn Seong Bong) , Kim Jin-hyung , Street Fighting Person 2(as Kim Jin Hyung)",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,35,8.5,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
35,Gladiator,2000,2h 35m,R,Ridley Scott,"Russell Crowe , Maximus , Joaquin Phoenix , Commodus , Connie Nielsen , Lucilla , Oliver Reed , Proximo , Richard Harris , Marcus Aurelius , Derek Jacobi , Gracchus , Djimon Hounsou , Juba , David Schofield , Falco , John Shrapnel , Gaius , Tomas Arana , Quintus , Ralf Moeller , Hagen , Spencer Treat Clark , Lucius , David Hemmings , Cassius , Tommy Flanagan , Cicero , Sven-Ole Thorsen , Tigris , Omid Djalili , Slave Trader , Nicholas McGaughey , Praetorian Officer , Chris Kell , Scribe",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,36,8.5,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
36,The Lion King,1994,1h 28m,G,Roger Allers,"Matthew Broderick , Simba(voice) , Jeremy Irons , Scar(voice) , James Earl Jones , Mufasa(voice) , Whoopi Goldberg , Shenzi(voice) , Rowan Atkinson , Zazu(voice) , Niketa Calame-Harris , Young Nala(voice)(as Niketa Calame) , Jim Cummings , Ed(voice)… , Robert Guillaume , Rafiki(voice) , Moira Kelly , Nala(voice) , Nathan Lane , Timon(voice) , Zoe Leader , Sarafina(voice) , Cheech Marin , Banzai(voice) , Ernie Sabella , Pumbaa(voice) , Madge Sinclair , Sarabi(voice) , Jonathan Taylor Thomas , Young Simba(voice) , Frank Welker , Lion Roars(voice)… , Cathy Cavadini , Additional Voices(voice) , Judi M. Durand , Additional Voices(voice)(as Judi Durand)","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",37,8.5,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
37,Léon: The Professional,1994,1h 50m,R,Luc Besson,"Jean Reno , Leon , Gary Oldman , Stansfield , Natalie Portman , Mathilda , Danny Aiello , Tony , Peter Appel , Malky , Willi One Blood , 1st Stansfield Man(as Willie One Blood) , Don Creech , 2nd Stansfield Man , Keith A. Glascoe , 3rd Stansfield Man , Randolph Scott , 4th Stansfield Man , Michael Badalucco , Mathilda's Father , Ellen Greene , Mathilda's Mother , Elizabeth Regen , Mathilda's Sister , Carl J. Matusovich , Mathilda's Brother , Frank Senger , Fatman , Lucius Wyatt Cherokee , Tonto(as Lucius Wyatt 'Cherokee') , Eric Challier , Bodyguard Chief , Luc Bernard , Mickey , Maïwenn , Blond Babe(as Ouin-Ouin)","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",38,8.5,"https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
38,American History X,1998,1h 59m,R,Tony Kaye,"Edward Norton , Derek , Edward Furlong , Danny , Beverly D'Angelo , Doris , Jennifer Lien , Davina , Ethan Suplee , Seth , Fairuza Balk , Stacey , Avery Brooks , Sweeney , Elliott Gould , Murray , Stacy Keach , Cameron , William Russ , Dennis , Guy Torry , Lamont , Joe Cortese , Rasmussen , Jason Bose Smith , Little Henry(as Jason Bose-Smith) , Antonio David Lyons , Lawrence , Alex Sol , Mitch McCormick , Keram Malicki-Sánchez , Chris(as Keram Malicki-Sanchez) , Giuseppe Andrews , Jason , Michelle Christine White , Lizzy","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",39,8.5,"https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
39,The Departed,2006,2h 31m,R,Martin Scorsese,"Leonardo DiCaprio , Billy , Matt Damon , Colin , Jack Nicholson , Costello , Mark Wahlberg , Dignam , Martin Sheen , Queenan , Ray Winstone , Mr. French , Vera Farmiga , Madolyn , Anthony Anderson , Brown , Alec Baldwin , Ellerby , Kevin Corrigan , Cousin Sean , James Badge Dale , Barrigan , David O'Hara , Fitzy(as David Patrick O'Hara) , Mark Rolston , Delahunt , Robert Wahlberg , Lazio (FBI) , Kristen Dalton , Gwen , Thomas B. Duffy , Governor , Richard Hughes , Uncle Edward(as Dick Hughes) , J.C. MacKenzie , Realtor",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,40,8.5,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY281_CR0,0,190,281_.jpg"
40,Whiplash,2014,1h 46m,R,Damien Chazelle,"Miles Teller , Andrew , J.K. Simmons , Fletcher , Melissa Benoist , Nicole , Paul Reiser , Jim Neimann , Austin Stowell , Ryan , Nate Lang , Carl Tanner , Chris Mulkey , Uncle Frank , Damon Gupton , Mr. Kramer , Suanne Spoke , Aunt Emma , Max Kasch , Dorm Neighbor , Charlie Ian , Dustin , Jayson Blair , Travis , Kofi Siriboe , Bassist (Nassau) , Kavita Patil , Assistant - Sophie , C.J. Vana , Metz , Tarik Lowe , Pianist (Studio Band) , Tyler Kimball , Saxophonist #2 (Studio Band) , Rogelio Douglas Jr. , Trumpeter #1 (Studio Band)",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,41,8.5,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
41,The Prestige,2006,2h 10m,PG-13,Christopher Nolan,"Christian Bale , Alfred Borden , Hugh Jackman , Robert Angier , Scarlett Johansson , Olivia Wenscombe , Michael Caine , Cutter , Piper Perabo , Julia McCullough , Rebecca Hall , Sarah , Samantha Mahurin , Jess , David Bowie , Tesla , Andy Serkis , Alley , Daniel Davis , Judge , Jim Piddock , Prosecutor , Christopher Neame , Defender , Mark Ryan , Captain , Roger Rees , Owens , Jamie Harris , Sullen Warder , Monty Stuart , Stagecoach Driver , Ron Perkins , Hotel Manager , Ricky Jay , Milton","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",42,8.5,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX190_CR0,0,190,281_.jpg"
42,The Usual Suspects,1995,1h 46m,R,Bryan Singer,"Kevin Spacey , Verbal , Gabriel Byrne , Keaton , Chazz Palminteri , Dave Kujan , Stephen Baldwin , McManus , Benicio Del Toro , Fenster , Kevin Pollak , Hockney , Pete Postlethwaite , Kobayashi , Suzy Amis , Edie Finneran , Giancarlo Esposito , Jack Baer , Dan Hedaya , Jeff Rabin , Paul Bartel , Smuggler , Carl Bressler , Saul Berg , Phillipe Simon , Fortier , Jack Shearer , Renault , Christine Estabrook , Dr. Plummer , Clark Gregg , Dr. Walters , Morgan Hunter , Arkosh Kovash , Ken Daly , Translator",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,43,8.5,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,1,190,281_.jpg"
43,Grave of the Fireflies,1988,1h 29m,Not Rated,Isao Takahata,"Tsutomu Tatsumi , Seita(voice) , Ayano Shiraishi , Setsuko(voice) , Akemi Yamaguchi , Aunt(voice) , Yoshiko Shinohara , Mother(voice) , Kôzô Hashida , Obayashi Chairman(voice) , Masayo Sakai , Woman who takes care of Setsuko , Kazumi Nozaki , Cousin(voice) , Yoshio Matsuoka , Gosaku(voice) , Masahiro Kanetake , Aunt's house guest(voice) , Kiyoshi Yanagawa , Patrolman(voice) , Hajime Maki , Man who arrests Seita(voice) , Atsuo Omote , Person in bank(voice) , Teruhisa Harita , Station worker(voice) , Hiroshi Tanaka , Person in bank(voice) , Michio Denpô , Station worker(voice)… , Shirô Tamaki , Person in bank(voice) , Tadashi Nakamura , Mika Sekita , Nurse(voice)",A young boy and his little sister struggle to survive in Japan during World War II.,44,8.5,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
44,Harakiri,1962,2h 13m,Not Rated,Masaki Kobayashi,Tatsuya Nakadai as Hanshiro Tsugumo as Akira Ishihama as Motome Chijiiwa as Shima Iwashita as Miho Tsugumo as Tetsurô Tanba as Hikokuro Omodaka as Masao Mishima as Tango Inaba as Ichirô Nakatani as Hayato Yazaki as Kei Satô as Masakazu as Yoshio Inaba as Jinai Chijiiwa as Hisashi Igawa as Retainer as Tôru Takeuchi as Retainer as Yoshirô Aoki as Umenosuke Kawabe as Tatsuo Matsumura as Seibei as Akiji Kobayashi as Ii Clan Retainer as Kôichi Hayashi as Ryûtarô Gomi as General as Jô Azumi as Ichiro Shimmen as Nakajirô Tomita as Shichisaburô Amatsu as Retainer,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",45,8.6,"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY281_CR9,0,190,281_.jpg"
45,Casablanca,1942,1h 42m,PG,Michael Curtiz,"Humphrey Bogart , Rick Blaine , Ingrid Bergman , Ilsa Lund , Paul Henreid , Victor Laszlo , Claude Rains , Captain Louis Renault , Conrad Veidt , Major Heinrich Strasser , Sydney Greenstreet , Signor Ferrari , Peter Lorre , Ugarte , S.Z. Sakall , Carl(as S.K. Sakall) , Madeleine Lebeau , Yvonne(as Madeleine LeBeau) , Dooley Wilson , Sam , Joy Page , Annina Brandel , John Qualen , Berger , Leonid Kinskey , Sascha , Curt Bois , Pickpocket , Abdullah Abbas , Arab(uncredited) , Enrique Acosta , Guest at Rick's(uncredited) , Ed Agresti , Bar Patron(uncredited) , Arnet Amos , French Soldier(uncredited)…",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,46,8.5,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UX190_CR0,3,190,281_.jpg"
46,Oppenheimer,2023,3h,R,Christopher Nolan,"Cillian Murphy , J. Robert Oppenheimer , Emily Blunt , Kitty Oppenheimer , Matt Damon , Leslie Groves , Robert Downey Jr. , Lewis Strauss , Alden Ehrenreich , Senate Aide , Scott Grimes , Counsel , Jason Clarke , Roger Robb , Kurt Koehler , Thomas Morgan , Tony Goldwyn , Gordon Gray , John Gowans , Ward Evans , Macon Blair , Lloyd Garrison , James D'Arcy , Patrick Blackett , Kenneth Branagh , Niels Bohr , Harry Groener , Senator McGee , Gregory Jbara , Chairman Magnuson , Ted King , Senator Bartlett , Tim DeKay , Senator Pastore , Steven Houska , Senator Scott","The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",47,8.5,"https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
